artist,date,year,auction house,seller,Lot Number,Artwork Title,Measurements,purchaser,pounds,shillings,pence
"HOWARD, Henry",3/17/1849,1849,Christie's,"Henry Howard, R.A",0,Audrey and Touchstone. Drawing,,Hodgson & Graves,10,10,0
"LINNELL, John",7/9/1881,1881,Christie's,William Sharp,0,"Ausudius, etc.",,Crowe,2,12,6
"LINNELL, John",5/9/1864,1864,Christie's,George Gee,0,Autumn Scene,,,,,
"LINNELL, John",3/11/05,1905,Christie's,M. R. Cotes,0,Bacchanalian Scene,,,49,7,0
REMBRANDT VAN RHYN,6/23/1820,1820,Mr. Christie,"B. West, P.R.A",0,Bacchanalian Subject,,,115,10,0
"RUBENS, Sir Peter Paul",5/28/1824,1824,Christie's,"B. West, R.A",0,Bacchus,53. Eastern Fruit Seller 841 2 x iof,McLean,173,5,0
"HOGARTH, William",6/23/1323,1323,Mr. Christie,David Garrick,0,Bacchus,"56. Peasants, Cattle, and Sheep 817",Col. Jefferson,144,18,0
"MIERIS, William",6/28/1816,1816,Mr. Christie,Henry Hope,0,Bacchus,57. The Price of the Pig 5x19,Tooth,173,5,0
"LEADER, Benjamin Williams",5/30/1896,1896,Christie's,Lady Lycett,0,Back of Isle of Wight Man Shrimping,,Fuller,30,9,0
"MULREADY, William",5/26/1894,1894,Christie's,John Gibbons,0,"Barlow, R.A",7. Luff Boy. Study,Agnew,357,0,0
"MORLAND, George",6/17/10,1910,Christie's,Sir F. T. Mappin,0,"Barlow, R.A",8. Song and Accompaniment. Study,Agnew,189,0,0
"RUBENS, Sir Peter Paul",6/20/1807,1807,Mr. Christie,Collector,0,"Barlow, R.A",0. Head of a Covenanter,Gibbs,168,0,0
"OPIE, John",6/6/1807,1807,Peter Coxe,"J. Opie, R.A",0,Battle between Christians and Saracens,,,,,
REMBRANDT VAN RHYN,1/22/1881,1881,Christie's,R. Clemson Barnett,0,Battle of Constantine and Maxantius,,Barham,31,10,0
"POTTER, Paul",6/24/1852,1852,Christie's,Mrs. Gritten,0,Battle of St. Vincent,,,9,19,6
"SCHALKEN, Godfried",5/23/1801,1801,"Coxe, Burrell and Foster",Griffier Fagel,0,Beau Fielding. Half-length,,,,,
"POUSSIN, Nicholas",5/9/1795,1795,Peter Coxe,Mr. Bryan,0,"Besieged, i860",9^x33,Spielman,147,0,0
"NAZZARI, Bartolommeo",4/13/1775,1775,Mr. Christie,Count Schulenburg,0,Birth of the Virgin,,Bought in,252,0,0
REMBRANDT VAN RHYN,6/24/1820,1820,Mr. Christie,"B. West, P.R.A",0,Bishop Fisher with a Death's Head,,Pollock,3,15,0
"O'NEILL, George Bernard",6/4/1887,1887,Christie's,Charles Wells,0,Blowing Bubbles,1X7J,Vokins,134,8,0
"ISRAELS, Josef",5/10/1902,1902,Christie's,Thomas Mackenzie,0,Boy on Seashore. Drawing,0JX7J,,6,6,0
"MORLAND, George",1/21/1893,1893,Christie's,Samuel Job,0,Boy with Bird's Nest,,Waters,6,5,0
"PARMIGIANO, Il, Francesco Mazzuoli, called",3/10/1791,1791,Mr. Greenwood,Edmund Tanner,0,Boy with young Deer,,Lord St. Helens,11,0,6
"LINNELL, John",5/15/1897,1897,Christie's,Eli Lees,0,Bridge of Garry. Drawing,9x13,Leggatt,98,14,0
"LANDSEER, Sir Edwin",5/7/1892,1892,Christie's,Lord Cheylesmore,0,Buchanan,,Gale,1,13,0
"HUNT, William Henry",5/19/1877,1877,Christie's,John Knowles,0,Bulldog and Spaniel,792,Oriental Club,110,5,0
"MULLER, William James",5/5/06,1906,Christie's,Sir F. T. Mappin,0,Calais Sands,,,42,0,0
"HACKAERT, John",6/24/1893,1893,Christie's,H. Bingham Mildmay,0,Camp SceneSixteen Figures,,,,,
"MILLAIS, Sir John Everett",5/26/1900,1900,Christie's,J. G. Millais,0,Camp SceneTwenty Figures 1,,Reeves,745,10,0
"KAUFFMANN, Angelica",4/23/04,1904,Christie's,Captain Arthur Campbell,0,Canova. Copy by Sapelli,,,,,
"LELY, Sir Peter",2/26/10,1910,Christie's,Mrs. M. Y. Hales,0,Cardinal Wolsey,,,,,
"HOLBEIN, Hans, the Younger",2/7/1801,1801,Mr. Christie,Earl of Bessborough,0,Cart Horse frightened by Lightning,,Ellis,17,17,0
"LESLIE, Charles Robert",2/25/1865,1865,Christie's,Samuel Cartwright,0,CartoonHorse's Head. From Palace Albano,,,42,0,0
"HOLLAND, James",5/2/1902,1902,Christie's,C. A. Barton,0,Castle of Graffenburg. Drawing,5 x 39,Sampson,105,0,0
"LEIGHTON, Lord (Sir Frederick)",5/23/13,1913,Christie's,G. McCulloch,0,Catherine of Braganza,,,,,
"HONDEKOETER, Melchior",6/6/1885,1885,Christie's,C. B. Denison,0,Cavalier in Spanish Hat,,,,,
"HOGARTH, William",5/22/1886,1886,Christie's,S. Addington,0,Cephalus and Procris,,J. K.,7,7,0
"HALSWELLE, Keeley",5/2/1896,1896,Christie's,John Hargreaves,0,"Chapel, Arundel Church. Drawing",,,,,
"PROUT, Samuel",5/27/1865,1865,Christie's,Mozley,0,"Chapter House, Bordeaux",7 x 13,Agnew,168,0,0
"HOLLAND, James",5/28/1887,1887,Christie's,Turquand,0,Charles I,,,,,
"HALS, Frank",2/1/1902,1902,Christie's,H. W. Cholmley,0,Charles II,,,,,
"RAVENSTEIN, Jan van",2/2/13,1913,Christie's,Sir J. W. Ellis,0,Charles James Fox when Young,764. Oval.,Gooden and Fox,546,0,0
"HOLBEIN, Hans, the Younger",11/25/05,1905,Christie's,Earl of Cork,0,"Chateau of Kastverlaren. Smith VI, 116",3x29,Wynn,336,0,0
"HALS, Frank",5/9/1903,1903,Christie's,H. P. Cunliffe,0,Child with Toy Cart. Drawing,|xnJ,Wallis,136,10,0
"HUDSON, Thomas",5/18/1821,1821,Mr. Christie,LadyThomond,0,"Children Fishing, Gillingham",2^x16!,Vokins,420,0,0
"KAUFFMANN, Angelica",3/5/04,1904,Christie's,Townshend Heirlooms,0,Christ and Disciples at Emmaus,,,,,
"REYNOLDS, Sir Joshua",3/5/04,1904,Christie's,Townshend Heirlooms,0,Christ and Woman of Samaria,4 x 38J,Gambart,383,5,0
"MULLER, William James",6/25/08,1908,Christie's,Stephen G. Holland,0,Christ and Woman of Samaria,8 x 14,,73,10,0
KETTLE Tilly,5/19/1900,1900,Christie's,Mde. de Falbe,0,"Clifton. Engraved in "" Book of Gems """,,,,,
"REYNOLDS, Sir Joshua",7/11/1870,1870,Christie's,Col. Cunningham,0,Cocks and Hens in Farmyard,,,,,
REMBRANDT VAN RHYN,3/10/1894,1894,Christie's,Sir George Clark,0,Cocks Fighting,1 x 46,Miss Foster,189,0,0
"NETSCHER, Gaspar",3/12/1808,1808,Mr. Christie,Yarmouth,0,Collection of Roman Catholic Drawings in two Red Volumes,,Lord James Cavendish,46,4,0
"REYNOLDS, Sir Joshua",6/3/1871,1871,Christie's,"Palmer, Eland, and Nettleship",0,Congreve,,,11,0,6
"REYNOLDS, Sir Joshua",5/6/1876,1876,Christie's,Wynn Ellis,0,Contented with Little. Drawing,1x7!,Agnew,157,10,0
HOOK. James Clarke,5/25/1895,1895,Christie's,George Orme,0,Crossing the Stile,75X36,Wallis,252,0,0
"NICOL, Erskine",6/6/07,1907,Morrison & Co.,William Johnston,0,Crossing the Stream,7J x 36,Rought,225,15,0
"HOLLAND, James",4/10/1884,1884,Christie's,Samuel Hanson,0,Cupid and Psyche,,,,,
"PHILLIP, John",6/19/1880,1880,Christie's,Henry Rougier,0,Cupids in Harvest Occupation with Van Uden,,,,,
"HUNT, William Henry",4/25/1885,1885,Christie's,George Schlotel,0,Danae in Golden Shower,,,,,
"HUNT, William Henry",6/4/04,1904,Christie's,J. Orrock,0,DaybreakDigging for Bait,7 x 60,Wilmer,341,5,0
"LINNELL, John",6/23/1849,1849,Christie's,G. T. Andrews,0,Dean Swift,,,,,
"LINNELL, John",5/31/1851,1851,Christie's,G. T. Andrews,0,Dean Swift,,,,,
"PETERS, Rev. Matthew William",12/13/12,1912,Christie's,J. H. H. V. Lane,0,Death of Germanicus. Sketch,,,32,11,0
"REYNOLDS, Sir Joshua",7/13/1811,1811,Mr. Christie,Walker,0,Death of the Virgin,,Lee,892,10,0
"POCOCK, Nicholas",2/25/1806,1806,Peter Coxe,Marquess of Lansdowne,0,Descent from the Cross,,Johnson,27,6,0
"LINNELL, John",3/19/1887,1887,Christie's,W. A. Duncan,0,Despair of Psyche,,,,,
"HAAG, Carl",4/30/1892,1892,Christie's,Messrs. Murrieta,0,Diana and Actaeon,,,,,
"LEWIS, John Frederick",7/4/1891,1891,Christie's,John Noble,0,Diana de Poitiers. On Copper,,,21,0,0
"HOGARTH, William",4/12/1851,1851,Christie's,Smith,0,Diana. Crayons,,,,,
"LINNELL, John",4/26/1890,1890,Christie's,J. C. Harter,0,Dog's Head and Head of Calf,,Shepherd,2,15,0
"LEADER, Benjamin Williams",3/24/1900,1900,Christie's,Edward Fox White,0,Doge's Palace. Drawing,85 x 44,Sampson,210,0,0
"RUBENS, Sir Peter Paul",2/18/1797,1797,Mr. Christie,John Trumbull,0,Doncaster Gold Cup,839 6x72,Fores,283,10,0
REMBRANDT VAN RHYN,3/14/1795,1795,Mr. Christie,Sir J. Reynolds,0,Duchess of Cleveland,8 x 39,Tooth,178,10,0
"REYNOLDS, Sir Joshua",5/11/1901,1901,Christie's,Arthur Kay,0,Duchess of Cleveland,,,3,3,0
REMBRANDT VAN RHYN,5/28/1892,1892,Christie's,F. R. Leyland,0,Duchess of Cleveland,,,,,
"HOWARD, Henry",3/17/1849,1849,Christie's,"Henry Howard, R.A",0,Duchess of Portsmouth,,,,,
"MYTENS, Daniel",7/9/04,1904,Christie's,T. L. Thurlow,0,Duke of York and Sir W. Boothby,,Lord King,5,5,0
"LONSDALE, James",3/31/06,1906,Christie's,E. M. Denny,0,Duke of York in Naval Uniform,,Wallis,2,18,0
"LELY, Sir Peter",5/14/1858,1858,Christie's,Sir J. Hawley,0,Dunes at Toits Rouges,902. Drawing.13^x17!,Leggatt,115,10,0
"REYNOLDS, Sir Joshua",3/28/08,1908,Christie's,Claude A. C. Ponsonby,0,Durham. Drawing,1x51,Duncan,120,15,0
"RUBENS, Sir Peter Paul",6/25/1859,1859,Christie's,Hon. Edmund Phipps,0,Dutch Kitchen Harman coll.,,Marquess of Hertford,252,0,0
REMBRANDT VAN RHYN,6/8/1790,1790,Denew and Dawson,Gentleman,0,Earl and Countess of Carlisle,,,,,
"KNELLER, Sir Godfrey",6/8/1790,1790,Denew and Dawson,Gentleman,0,Earl of Mansfield,,Sir G. Chetwynd,4,4,0
"REYNOLDS, Sir Joshua",3/27/1801,1801,Mr. Christie,Sir William Hamilton,0,Edward VI,,,,,
"RUBENS, Sir Peter Paul",3/9/1791,1791,Greenwood,Edmund Tanner,0,"Edward, Earl of Dorset",,Hodgkins,168,0,0
"HOGARTH, William",7/10/1869,1869,Christie's,H. R. Willet,0,Eight Figures making Merry,656,N.,572,5,0
"RUBENS, Sir Peter Paul",4/26/1806,1806,Mr. Christie,From Abroad,0,Entrance to Dutch River,850 5x21^,Gribble,115,10,0
PALMA VECCHIO (called Old Palma),5/25/11,1911,Christie's,C.Butler,0,Falls of the Tummell. Drawing,4x20,Agnew,99,15,0
"PARMIGIANO, Il, Francesco Mazzuoli, called",3/28/1795,1795,Skinner,C. A. Calonne,0,Female Reading. Painted with A. Vandevelde,4 x 46,Annoot,1050,0,0
"POUSSIN, Nicholas",1/26/1811,1811,Mr. Christie,Brothon,0,Ferry-boat and Figures,6 x 20,,47,5,0
"HAAG, Carl",4/17/1863,1863,Christie's,Lewin B. Mozley,0,Fete ChampetreFountain,,Boussod Valedon and Co.,840,0,0
"O'NEIL, Henry Nelson",5/8/1886,1886,Christie's,Mrs. Kemp Welch,0,Fete ChampetreLake in a Garden,,,,,
"LINNELL, John",6/13/1874,1874,Christie's,A. Wood,0,Figures at Cottage Door Refreshing.,,,273,0,0
"MACWHIRTER, John",4/1/11,1911,Christie's,D. P. McEuen,0,"Fk., Prince of Wales,playingCello, etc.",,C. Davis,246,15,0
"REYNOLDS, Sir Joshua",6/15/1895,1895,Christie's,James Price,0,Foote the Comedian,,Bought in,21,10,6
"LAWRENCE, Sir Thomas",5/26/11,1911,"Knight, F. & R.",Nobleman,0,Fortune sitting on Globe,,Mrs. Forster,38,17,0
"ROSALBA, Carriera",6/13/13,1913,Christie's,Lady Dorothy Nevill,0,"From ""The Tempest."" Three Compartments.",,Gambart,346,10,0
"OSTADE, Isaac",2/7/1807,1807,Mr. Christie,From Abroad,0,Ganymede,,,,,
"HOLLAND, James",5/27/10,1910,Christie's,Abel Buckley,0,Garden of Love. Study,,,,,
"HINE, Henry George",10/20/08,1908,"Capes, Dunn and Pilcher",W. Beacall,0,Gentleman at Table. Small whole-length.,,J. Richmond,42,0,0
"SCHREYER, Adolphe",3/27/1897,1897,Christie's,Henry Jenkins,0,Gentleman in Black and Slashed Sleeves,7x30,Colnaghi,99,15,0
"METZU, Gabriel",4/15/1831,1831,Christie's,Gentleman,0,Gentleman in Flowered Green Coat,2 x 25,Canfield,231,0,0
"MASON, George Hemming",5/23/08,1908,Christie's,Humphrey Roberts,0,Gentleman. In crayons,,,,,
"MILLET, J. P.",5/25/1889,1889,Christie's,Henry Hill,0,George IV on Sofa. Half-length,,Bought in,78,15,0
"ORCHARDSON, Sir William Quiller",5/3/1890,1890,Christie's,Charles Neck,0,"George, Prince of Wales",,Rutley,14,14,0
"ROSA, Salvator",5/18/1821,1821,Mr. Christie,Lady Thomond,0,Gleaners. Drawing,^x12},Connell,105,0,0
"REYNOLDS, Sir Joshua",3/1/1873,1873,Christie's,Graves,0,Grace before Meat,,Agnew,430,10,0
"REYNOLDS, Sir Joshua",5/13/05,1905,Christie's,Charles Neck,0,"Grey Horse, and one lying Down",792,G. C.,94,10,0
"RUBENS, Sir Peter Paul",2/10/12,1912,Christie's,L. Lesser,0,H.M.S. Captain off St. Vincent,,,9,9,0
"NEEFS, Peter",4/24/1776,1776,Mr. Walsh,Gilbert Marshall,0,Hagar and Ishmael,5 x 38,Agnew,304,10,0
"NEEFS, Peter",5/19/11,1911,Christie's,George Wilder,0,Hagar and the Angel,,,,,
"MORLAND, George",5/9/1896,1896,Christie's,H. Haskett Smith,0,Hall Table Fruit,4 in. circle,J. Grundy,76,0,0
"OSTADE, Adriaen van",6/20/13,1913,Christie's,Col. R. Spencer Hall,0,Haymakers,895. Drawing 5} x 34},Wallis,514,10,0
"MIERIS, William",5/8/1824,1824,Mr. Christie,Ralph Bernal,0,Head of a Lady,3 x 19!,E. F. White,73,10,0
"PROUT, Samuel",3/8/1884,1884,Christie's,Edward Sutton,0,Head of a young Girl. i6 x 14^,,Huggins,99,15,0
"PANNINI, Giovanni Paulo",8/10/1842,1842,Robins,Shugborough Hall,0,Henderson the Actor,,,3,13,0
"OSTADE, Adriaen van",6/30/1894,1894,Christie's,Adrian Hope,0,Henry VIII with Brother and Sister. Engraved by Vertue,,,,,
"HAGHE, Louis",4/27/1877,1877,Christie's,Albert Grant,0,Henry VIII. In a round,,Barratt,3,16,0
"OSTADE, Adriaen van",5/17/1844,1844,Christie's,Jeremiah Harman,0,"Highland Keeper, Dogs, and Game",3 x 43,Clark,152,0,0
"OSTADE, Adriaen van",4/28/1827,1827,Christie's,John Dent,0,His own Portrait,,,,,
"OSTADE, Adriaen van",7/31/1851,1851,Christie's,Viscount Middleton,0,Holy Family,,Norton,10,10,0
"JOHNSTONE, Alexander",6/17/1854,1854,Christie's,S. Hammond,0,Holy Family in a Garden,3x18,Whyte,84,0,0
"MORLAND, Henry Robert",6/3/05,1905,Christie's,Lord Tweedmouth,0,Hunting Wild Boar,6 x 32,,38,17,0
"ROSA, Salvator",5/3/1845,1845,Christie's,Sir G. Hayter,0,Interior of a Cathedral,,,,,
"PATEL, Pierre and Pierre Antoine",6/2/1814,1814,H. Phillips,A. Delahante,0,Interior of AlehouseMan with Can,795,Ellis,220,10,0
"MURILLO, Bartolom Estban",2/6/1801,1801,Mr. Christie,Earl of Bessborough,0,Isabella Clara Eugene as Nun,8 x 45,Bore,68,5,0
"JANSSEN, or JOHNSON, Cornelius",6/17/1882,1882,Christie's,Hamilton Palace,0,Itinerant singing Ballads,,,,,
"LELY, Sir Peter",5/16/1726,1726,Cock,Earl of Peterborough,0,"James, Duke of York",,,,,
"ROSA, Salvator",2/7/1801,1801,Mr. Christie,EarlofBessborough,0,Johannes Barrow,520,Dr. Scott,2,12,0
"ROSSETTI, Dante Gabriel",5/26/1888,1888,Christie's,L. R. Valpy,0,Joseph Addison,,,8,8,0
"HALS, Frank",5/23/1835,1835,Christie's,Sir James Stuart,0,"Joseph Farington, R.A",,,,,
"MARATTI, Carlo",3/24/1790,1790,Mr. Blyth,John Deschamps,0,Jupiter and Ganymede. Sketch,,,,,
"REYNOLDS, Sir Joshua",1/31/1874,1874,Christie's,Furber and Price,0,"Jupiter, etc. From Athenian Stuart's coll.",,,,,
POLIDORO DA CARAVAGGIO,4/25/1800,1800,Mr. Christie,J. Udney,0,"Katherine, Petruchio, etc.",,Newton,8,8,0
"PORDENONE, Giovanni Antonio Licinio, called",2/17/1798,1798,Mr. Richards,W. Gibbon Podd,0,"Katherine, Petruchio, etc.",,Newton,13,2,6
"LESLIE, Charles Robert",5/4/1878,1878,Christie's,F.T.Turner,0,Lady,790. Drawing ^x7!,Sabin,220,10,0
"REYNOLDS, Sir Joshua",4/29/1808,1808,Mr. Christie,Gentleman,0,Lady Barbara Ashley as a Child. Drawing 40 J x 3c,,Sabin,210,0,0
"POURBUS, Franz (Elder and Younger)",6/13/1896,1896,Christie's,Sir Julian Goldsmid,0,Lady Castlemaine,7 x 44,Druce,110,5,0
"JACQUET, Gustave Jean",6/29/1901,1901,Christie's,Mrs. Langtry,0,"Lady Clarke, profile, Standing, Arm on Pedestal",,Bought in,141,15,0
"ISRAELS, Josef",4/4/08,1908,Christie's,T. H. Ismay,0,Lady Ferrers,,,1,10,0
"ROSSETTI, Dante Gabriel",5/21/1898,1898,Christie's,Joseph Ruston,0,Lady Gerrard,,,,,
"PHILLIP, John",4/27/1877,1877,Christie's,Albert Grant,0,Lady in a Green Dress,,,,,
"PHILLIP, John",5/7/1892,1892,Christie's,Lord Cheylesmore,0,"Lady in Velvet Dress, String of Pearls in Hair",,,,,
"MONTICELLI, Adolphe",1/28/05,1905,Christie's,Lawrie and Co,0,Lady in Yellow and Blue Dress with Palette,,,,,
"LANDSEER, Sir Edwin",6/18/1863,1863,Christie's,M,0,Lady leaning on a CushionSupposed to be a Niece (? Nelly O'Brien). Half-length,,Swaby,38,17,0
"REYNOLDS, Sir Joshua",2/10/1900,1900,Christie's,Earl Waldegrave,0,Lady Suffolk in Blue Dress,,,,,
"JAMESON, George",3/31/06,1906,Christie's,E. M. Denny,0,Landing with Paul the 1st Hermit,,,,,
"ROMNEY, George",3/11/1848,1848,Christie's,Rate,0,Landscape,,J. K.,6,16,6
"HOPPNER, John",5/9/1896,1896,Christie's,Lord Eversley,0,Landscape,,Sir George Douglas,7,7,0
"ROMNEY, George",2/12/06,1906,Christie's,Frederick Bower,0,Landscape,,Rogers,8,0,0
"REYNOLDS, Sir Joshua",6/16/11,1911,Christie's,Earl of Lauderdale,0,Landscape and Figures,,,,,
"ROMNEY, George",6/18/1898,1898,Christie's,H. Howard,0,Landscape and Figures,,,15,15,0
"MIERIS, Francis",6/15/1836,1836,Christie's,Gentleman,0,Landscape and Figures. Engraved,1 x 9,,,,
"MIREVELDT, Michael Jansen",12/20/1902,1902,Christie's,General K. G. Henderson,0,"Landscape, Figures, and Waterfall",,,11,11,0
"REYNOLDS, Sir Joshua",5/21/1856,1856,Christie's,Thomas Emmerson,0,LandscapeCattle and Figures,8 x 50,Agnew,5460,0,0
REMBRANDT VAN RHYN,5/11/1896,1896,Christie's,C. H. T. Hawkins,0,LandscapeMan and Woman,644 3I x 33,Wertheimer,3465,0,0
